Epoch,loss
0,462.1410029530525
1,208.2090248465538
2,134.98883920907974
3,101.31444643437862
4,86.2208548784256
5,74.51858331263065
6,67.70520421862602
7,62.13571447134018
8,57.00836443901062
9,54.02527127042413
10,51.20611046627164
11,48.35544780269265
12,45.9418717212975
13,43.898585606366396
14,42.26076905056834
15,41.19041442871094
16,40.39766565710306
17,38.544133480638266
18,37.99613067135215
19,36.11056293360889
20,34.670124558731914
21,33.844021467491984
22,33.71301405131817
23,31.964524561539292
24,32.14452111721039
25,32.23772983439267
26,31.251493874937296
27,30.76754729449749
28,29.080666553229094
29,29.202385772019625
30,28.803394097834826
31,28.22127641737461
32,27.117119992151856
33,26.710272094234824
34,26.92295083962381
35,26.577786404639482
36,25.78316410444677
37,25.34557642042637
38,25.139736980199814
39,24.355061979964375
40,24.756078966893256
41,24.416672356426716
42,24.616760540753603
43,24.121340363286436
44,24.088003665208817
45,23.448510381858796
46,23.29275650344789
47,22.471604013815522
48,21.479516751132905
49,22.384036174044013
50,22.402214219793677
51,22.750703920144588
52,21.884888036176562
53,20.534045470878482
54,21.469650628976524
55,21.178608757443726
56,21.046216951683164
57,20.453784538432956
58,20.662791813723743
59,20.331418781541288
60,20.470152690075338
61,20.805958779528737
62,20.619004674255848
63,20.15253985952586
64,19.49137416156009
65,20.31309799803421
66,19.411864729598165
67,18.85217476543039
68,19.726712781004608
69,18.512947927229106
70,18.95624205004424
71,19.001459085848182
72,18.33202271349728
73,19.05576110817492
74,18.292105473112315
75,18.19736234471202
76,18.020908332895488
77,18.481171149294823
78,17.819902916438878
79,17.920451655285433
80,17.892040306702256
81,17.68939561676234
82,17.48926717415452
83,16.75393345905468
84,17.640942024067044
85,17.47631363105029
86,17.296391619369388
87,17.200372788589448
88,17.664526441134512
89,16.128384872339666
90,16.23127327580005
91,17.009204377885908
92,17.113152142148465
93,15.937494284007698
94,17.038776059634984
95,15.984118977561593
96,16.184883860871196
97,16.167127383407205
98,15.95074687548913
99,16.338125044014305
0,462.1410029530525
1,208.2090248465538
2,134.98883920907974
3,101.31444643437862
4,86.2208548784256
5,74.51858331263065
6,67.70520421862602
7,62.13571447134018
8,57.00836443901062
9,54.02527127042413
10,51.20611046627164
11,48.35544780269265
12,45.9418717212975
13,43.898585606366396
14,42.26076905056834
15,41.19041442871094
0,462.1410029530525
1,208.2090248465538
2,134.98883920907974
3,101.31444643437862
4,86.2208548784256
5,74.51858331263065
6,67.70520421862602
7,62.13571447134018
8,57.00836443901062
9,54.02527127042413
10,51.20611046627164
11,48.35544780269265
12,45.9418717212975
13,43.898585606366396
14,42.26076905056834
15,41.19041442871094
16,40.39766565710306
17,38.544133480638266
18,37.99613067135215
19,36.11056293360889
20,34.670124558731914
21,33.844021467491984
22,33.71301405131817
23,31.964524561539292
24,32.14452111721039
25,32.23772983439267
26,31.251493874937296
27,30.76754729449749
28,29.080666553229094
29,29.202385772019625
30,28.803394097834826
31,28.22127641737461
